"longitude", "latitude", "category", "name"
"139.9264764", "37.4991945", "japan", "白木屋"
"139.9166467", "37.5212979", "fuel", "COSMO"
"139.9258976", "37.4746158", "restaurant", "頓珍館"
"140.0296971", "37.5356879", "toilets", ""
"139.9291745", "37.4882506", "toilets", ""
"139.9292861", "37.4881484", "information", "鶴ケ城観光案内所"
"139.9294749", "37.4883119", "information", ""
"139.9294476", "37.4882216", "bench", ""
"139.9292088", "37.4880531", "bicycle_rental", ""
"139.9291058", "37.4881144", "cafe", ""
"139.9308709", "37.4866647", "cafe", "茶室麟閣"
"139.9279645", "37.4878467", "toilets", ""
"139.9300284", "37.4884427", "place_of_worship", "鶴ヶ城稲荷神社"
"139.9292901", "37.4889684", "toilets", ""
"139.9295221", "37.4889480", "taxi", ""
"139.9313027", "37.4891540", "cafe", "本丸茶屋"
"139.9300357", "37.4889607", "bench", ""
"139.9305182", "37.4878620", "bench", ""
"139.9324548", "37.4889258", "toilets", ""
"139.9336071", "37.4898109", "fuel", "昭和シェル石油 佐藤燃料"
"139.9346302", "37.4888744", "museum", "福島県立博物館"
"139.9319485", "37.4898056", "restaurant", "鶴ヶ城会館"
"139.9324009", "37.4860927", "bench", ""
"139.9323931", "37.4859963", "bench", ""
"139.9334042", "37.4882634", "toilets", ""
"139.9287682", "37.4875420", "place_of_worship", "笠間稲荷神社"
"139.8439495", "37.4621555", "convenience", "ローソン"
"139.9047132", "37.4842629", "parking", ""
"139.9082538", "37.4855612", "parking", ""
"139.9107564", "37.4765781", "convenience", "セブンイレブン"
"139.9071295", "37.4855539", "parking", ""
"139.9387622", "37.5044151", "place_of_worship", "蚕養神社"
"139.9362087", "37.5059215", "restaurant", "幸楽苑"
"139.8731446", "37.4919365", "public_building", "会津若松市北会津 農業改善センター"
"139.8785090", "37.4717757", "convenience", "ファミリーマート"
"139.9189719", "37.4790703", "video", "TSUTAYA門田店"
"140.0116539", "37.4673819", "public_building", "湊公民館"
"140.0102508", "37.4671005", "place_of_worship", ""
"139.9114486", "37.4923131", "place_of_worship", "古峯神社"
"139.9106741", "37.4846407", "place_of_worship", "古峯神社"
"139.9112535", "37.4871862", "place_of_worship", "秀長寺"
"139.9193215", "37.5012402", "fast_food", "七日町駅 駅カフェ"
"139.9071550", "37.4783831", "place_of_worship", "古峯神社"
"139.9040008", "37.4802647", "place_of_worship", "稲荷神社"
"139.9053741", "37.4764929", "supermarket", "コープ 飯寺"
"139.9094510", "37.4784341", "convenience", "セブンイレブン門田飯寺店"
"139.9196898", "37.4946145", "supermarket", "コープ 本町店"
"139.9189782", "37.4933836", "place_of_worship", "小館稲荷神社"
